date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:03:35	12500/12500	---M--	200	added ('OK')	text/html	etag:%2269780db1-30d4%22	https://quantforge.org/playground/	C:/My%20Web%20Sites/playground/quantforge.org/playground/index.html	(from )
12:03:35	67/67	---M--	200	added ('OK')	text/plain	date:Tue,%2027%20Jan%202026%2007:03:34%20GMT	https://quantforge.org/robots.txt		(from )
12:03:35	4002/4002	---M--	200	added ('OK')	image/png	etag:%22695e8c02-fa2%22	https://quantforge.org/playground/images/favicon-64.png	C:/My%20Web%20Sites/playground/quantforge.org/playground/images/favicon-64.png	(from https://quantforge.org/playground/)
12:03:35	29315/29315	---M--	200	added ('OK')	image/png	etag:%22695e8c02-7283%22	https://quantforge.org/playground/images/favicon-256.png	C:/My%20Web%20Sites/playground/quantforge.org/playground/images/favicon-256.png	(from https://quantforge.org/playground/)
12:03:36	1117939/1117939	---M-Z	200	added ('OK')	application/javascript	etag:W/%22110ef3-2MhEw9fGge24xrf3JGQ3PP9ZPJg%22	https://cdn.jsdelivr.net/npm/echarts/dist/echarts.min.js	C:/My%20Web%20Sites/playground/cdn.jsdelivr.net/npm/echarts/dist/echarts.min.js	(from https://quantforge.org/playground/)
12:03:37	150984/150984	---M--	200	added ('OK')	application/javascript	etag:%2269740fa3-24dc8%22	https://quantforge.org/playground/js/qfchart.dev.browser.js?v=0.6.5	C:/My%20Web%20Sites/playground/quantforge.org/playground/js/qfchart.dev.browser4861.js	(from https://quantforge.org/playground/)
12:03:37	429078/429078	---M-Z	200	added ('OK')	application/javascript	etag:%22657b133d-1c659%22	https://cdnjs.cloudflare.com/ajax/libs/ace/1.32.2/ace.min.js	C:/My%20Web%20Sites/playground/cdnjs.cloudflare.com/ajax/libs/ace/1.32.2/ace.min.js	(from https://quantforge.org/playground/)
12:03:37	753889/753889	---M--	200	added ('OK')	application/javascript	etag:%2269780da7-b80e1%22	https://quantforge.org/playground/js/pinets.dev.browser.js?v=0.8.5	C:/My%20Web%20Sites/playground/quantforge.org/playground/js/pinets.dev.browserc118.js	(from https://quantforge.org/playground/)
12:03:38	3144/3144	---M-Z	200	added ('OK')	application/javascript	etag:%22657b133d-3ce%22	https://cdnjs.cloudflare.com/ajax/libs/ace/1.32.2/theme-monokai.min.js	C:/My%20Web%20Sites/playground/cdnjs.cloudflare.com/ajax/libs/ace/1.32.2/theme-monokai.min.js	(from https://quantforge.org/playground/)
12:03:38	11150/11150	---M--	200	added ('OK')	application/javascript	etag:%22696109f8-2b8e%22	https://quantforge.org/playground/mode-pinescript.js	C:/My%20Web%20Sites/playground/quantforge.org/playground/mode-pinescript.js	(from https://quantforge.org/playground/)
12:03:38	102641/102641	---M-Z	200	added ('OK')	text/css	etag:%2265692999-5512%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css	C:/My%20Web%20Sites/playground/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css	(from https://quantforge.org/playground/)
12:03:38	9757/9757	---M--	200	added ('OK')	text/css	etag:%2269600228-261d%22	https://quantforge.org/playground/styles/styles.css?v=0.8.0	C:/My%20Web%20Sites/playground/quantforge.org/playground/styles/styles317e.css	(from https://quantforge.org/playground/)
12:03:38	18464/18464	---M--	200	added ('OK')	text/css	etag:%2269600753-4820%22	https://quantforge.org/playground/styles/playground.css?v=0.8.0	C:/My%20Web%20Sites/playground/quantforge.org/playground/styles/playground317e.css	(from https://quantforge.org/playground/)
12:03:39	3715/3715	---M--	200	added ('OK')	text/css	etag:%22695d7518-e83%22	https://quantforge.org/playground/styles/chart-preview.css?v=0.8.0	C:/My%20Web%20Sites/playground/quantforge.org/playground/styles/chart-preview317e.css	(from https://quantforge.org/playground/)
12:03:39	24831/24831	---M--	200	added ('OK')	application/javascript	etag:%226965935d-60ff%22	https://quantforge.org/playground/app.js?v=0.8.0	C:/My%20Web%20Sites/playground/quantforge.org/playground/app317e.js	(from https://quantforge.org/playground/)
12:03:39	19325/19325	---M--	200	added ('OK')	application/javascript	etag:%2269600905-4b7d%22	https://quantforge.org/playground/chart-preview.js?v=0.8.0	C:/My%20Web%20Sites/playground/quantforge.org/playground/chart-preview317e.js	(from https://quantforge.org/playground/)
